id,team_name,season,stat_name,shots,goals,xG,against_shots,GA,xGA,GP,xG-G,xGA-GA,xG-xGA,xG_per_shot,xG_per_shot_against,shots_per_goal_against,shots_against_per_game,xG_diff
25,CRY,2023,Penalty,0.0,0.0,0.0,2.0,2.0,1.5,11.0,0.0,-0.5,-1.5,,0.75,1.0,0.18181818181818182,-1.5
30,BHA,2023,Penalty,1.0,1.0,0.7611688375473022,2.0,2.0,1.5,11.0,-0.23883116245269775,-0.5,-0.7388311624526978,0.7611688375473022,0.75,1.0,0.18181818181818182,-0.7388311624526978
40,WOL,2023,Penalty,0.0,0.0,0.0,2.0,2.0,1.5,11.0,0.0,-0.5,-1.5,,0.75,1.0,0.18181818181818182,-1.5
65,BUR,2023,Penalty,0.0,0.0,0.0,2.0,2.0,1.5,11.0,0.0,-0.5,-1.5,,0.75,1.0,0.18181818181818182,-1.5
70,EVE,2023,Penalty,0.0,0.0,0.0,2.0,2.0,1.5,11.0,0.0,-0.5,-1.5,,0.75,1.0,0.18181818181818182,-1.5
80,MUN,2023,Penalty,1.0,1.0,0.7611688375473022,2.0,2.0,1.5,11.0,-0.23883116245269775,-0.5,-0.7388311624526978,0.7611688375473022,0.75,1.0,0.18181818181818182,-0.7388311624526978
85,TOT,2023,Penalty,0.0,0.0,0.0,2.0,2.0,1.5,11.0,0.0,-0.5,-1.5,,0.75,1.0,0.18181818181818182,-1.5
99,SHU,2023,Penalty,1.0,1.0,0.7611688375473022,2.0,1.0,1.5,11.0,-0.23883116245269775,0.5,-0.7388311624526978,0.7611688375473022,0.75,2.0,0.18181818181818182,-0.7388311624526978
20,FUL,2023,Penalty,0.0,0.0,0.0,3.0,3.0,2.3,11.0,0.0,-0.7000000000000002,-2.3,,0.7666666666666666,1.0,0.2727272727272727,-2.3
50,WHU,2023,Penalty,1.0,1.0,0.7611688375473022,3.0,2.0,2.3,11.0,-0.23883116245269775,0.2999999999999998,-1.5388311624526976,0.7611688375473022,0.7666666666666666,1.5,0.2727272727272727,-1.5388311624526976
60,BOU,2023,Penalty,0.0,0.0,0.0,3.0,2.0,2.3,11.0,0.0,0.2999999999999998,-2.3,,0.7666666666666666,1.5,0.2727272727272727,-2.3
34,LUT,2023,Penalty,2.0,2.0,1.5223376750946045,1.0,1.0,0.8,11.0,-0.4776623249053955,-0.19999999999999996,0.7223376750946044,0.7611688375473022,0.8,1.0,0.09090909090909091,0.7223376750946044
43,ARS,2023,Penalty,6.0,6.0,4.566976249217987,1.0,1.0,0.8,11.0,-1.433023750782013,-0.19999999999999996,3.7669762492179872,0.7611627082029978,0.8,1.0,0.09090909090909091,3.7669762492179872
75,CHE,2023,Penalty,3.0,2.0,2.2835065126419067,1.0,1.0,0.8,11.0,0.28350651264190674,-0.19999999999999996,1.4835065126419067,0.7611688375473022,0.8,1.0,0.09090909090909091,1.4835065126419067
90,NOT,2023,Penalty,0.0,0.0,0.0,1.0,1.0,0.8,11.0,0.0,-0.19999999999999996,-0.8,,0.8,1.0,0.09090909090909091,-0.8
95,BRF,2023,Penalty,2.0,2.0,1.5223376750946045,1.0,1.0,0.8,11.0,-0.4776623249053955,-0.19999999999999996,0.7223376750946044,0.7611688375473022,0.8,1.0,0.09090909090909091,0.7223376750946044
4,AVL,2023,Penalty,3.0,3.0,2.2835065126419067,0.0,0.0,0.0,11.0,-0.7164934873580933,0.0,2.2835065126419067,0.7611688375473022,,,0.0,2.2835065126419067
10,MCI,2023,Penalty,3.0,2.0,2.2835065126419067,0.0,0.0,0.0,11.0,0.28350651264190674,0.0,2.2835065126419067,0.7611688375473022,,,0.0,2.2835065126419067
14,NEW,2023,Penalty,3.0,3.0,2.2835065126419067,0.0,0.0,0.0,11.0,-0.7164934873580933,0.0,2.2835065126419067,0.7611688375473022,,,0.0,2.2835065126419067
55,LIV,2023,Penalty,4.0,3.0,3.0446011424064636,0.0,0.0,0.0,11.0,0.04460114240646362,0.0,3.0446011424064636,0.7611502856016159,,,0.0,3.0446011424064636
