Team,Position,Player Count,FPTS,LiveRkOv,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,GP,MIN,Ghost Points,Negative Fpts,90s,FPts/90
vsARS,D,9,160.75,330.43,1,24,3,4,40,9,6,0,10,34,81,9,18,49,0,0,0,48,1,34,2458,123.75,-112.5,27.31,5.89
vsARS,F,5,116.5,278.39,3,16,0,13,5,20,2,0,0,7,7,17,1,31,0,0,0,20,2,21,1107,89.5,-14.0,12.3,9.47
vsARS,M,6,241.5,145.21,2,40,3,14,42,25,4,0,8,20,18,23,4,40,0,0,0,53,1,36,2802,204.5,-20.5,31.13,7.76
vsAVL,D,5,221.0,221.89,2,21,2,6,26,8,6,0,10,18,100,16,14,36,0,0,0,28,10,28,2313,127.0,-72.0,25.7,8.6
vsAVL,F,5,170.5,191.39,4,18,5,15,16,41,2,0,2,7,9,24,1,26,0,0,0,17,6,25,1414,104.5,-24.5,15.71,10.85
vsAVL,M,12,248.5,283.96,1,39,2,15,36,49,5,0,7,28,29,52,8,24,0,0,0,37,11,46,2490,216.5,-34.5,27.67,8.98
vsBHA,D,8,89.5,328.29,0,20,2,0,22,8,8,0,4,17,62,18,11,17,0,0,1,37,5,30,2079,45.5,-99.0,23.1,3.87
vsBHA,F,4,161.0,150.2,5,20,2,18,3,23,1,0,0,0,8,30,1,11,0,1,0,25,5,22,1421,104.0,-13.5,15.79,10.2
vsBHA,M,11,318.5,211.08,7,47,2,24,51,34,8,0,8,21,39,23,12,23,0,0,0,46,8,49,2758,235.5,-33.0,30.64,10.39
vsBOU,D,9,291.5,200.72,1,25,6,8,27,15,6,1,8,23,88,18,19,73,0,0,0,31,12,47,2937,167.5,-88.5,32.63,8.93
vsBOU,F,4,113.0,211.38,3,15,1,12,12,30,7,0,5,1,7,28,2,10,0,1,0,12,6,21,1199,80.0,-29.0,13.32,8.48
vsBOU,M,8,160.0,279.55,1,28,1,13,22,24,5,0,6,19,13,22,5,10,1,0,0,14,10,30,1642,135.0,-26.0,18.24,8.77
vsBRF,D,7,288.5,188.04,2,28,6,3,25,6,6,0,13,23,62,10,25,56,0,0,0,27,11,30,2450,160.5,-69.0,27.22,10.6
vsBRF,F,2,88.5,111.66,5,2,1,16,1,24,2,0,1,0,2,13,0,5,0,0,0,12,2,12,502,37.5,-16.0,5.58,15.86
vsBRF,M,8,348.5,140.11,8,37,9,23,39,42,9,0,9,16,29,37,10,21,0,2,0,30,16,44,2730,206.5,-39.0,30.33,11.49
vsBUR,D,6,68.5,347.17,0,8,0,1,18,3,7,1,1,12,64,6,10,38,0,0,0,23,3,22,1457,50.5,-68.5,16.19,4.23
vsBUR,F,5,160.0,236.18,6,21,3,12,3,16,2,0,2,2,11,19,0,16,0,0,0,12,1,27,1015,88.0,-12.0,11.28,14.18
vsBUR,M,7,111.0,365.45,0,14,2,2,22,13,9,0,5,26,17,16,10,19,0,0,0,28,3,27,1703,96.0,-24.5,18.92,5.87
vsCHE,D,7,172.25,211.54,1,16,3,5,51,17,8,0,11,34,127,25,35,59,0,0,1,77,6,43,3471,105.25,-183.5,38.57,4.47
vsCHE,F,4,85.5,279.78,3,10,1,8,6,16,0,0,0,4,8,11,0,7,0,0,0,18,2,13,806,52.5,-8.0,8.96,9.54
vsCHE,M,8,228.0,183.97,1,34,2,12,24,29,2,0,7,39,33,37,7,31,0,0,0,58,4,45,2542,203.0,-18.5,28.24,8.07
vsCRY,D,4,172.25,126.25,2,17,4,9,29,9,7,0,11,23,63,14,14,23,0,0,1,41,8,28,2474,76.25,-105.5,27.49,6.27
vsCRY,F,5,295.5,116.67,11,31,11,23,4,27,3,0,4,3,8,20,1,12,0,2,0,26,5,28,1419,130.5,-19.5,15.77,18.74
vsCRY,M,10,210.0,285.01,4,35,2,11,35,36,10,0,5,17,14,31,7,10,0,0,0,41,8,45,2401,154.0,-38.0,26.68,7.87
vsEVE,D,10,221.5,235.78,1,15,2,7,28,14,5,1,5,50,110,13,32,56,0,0,0,50,11,50,3340,131.5,-124.0,37.11,5.97
