,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean)
8,2,21.4,0.6,3.2,0.4,1.4,2.4,1.4,0.4,0.0,0.6,0.4,0.2,2.4,0.0,0.2,0.0,0.0,0.0,1.2,0.8,2.8,0.2,0.4,13.6,-1.5,1.0
125,1,20.33,1.33,1.0,0.33,2.0,0.0,0.67,0.0,0.0,0.0,0.33,1.0,0.0,0.0,0.67,0.0,0.0,0.0,0.33,1.67,1.33,0.0,0.33,6.33,-0.33,1.0
109,1,18.83,1.0,2.0,0.0,2.67,1.0,1.33,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.33,0.33,0.33,0.0,0.67,1.0,0.33,0.0,0.33,9.83,-2.0,1.0
13,3,18.67,0.83,1.67,0.67,1.33,0.33,0.67,0.17,0.0,0.0,0.0,0.33,0.5,0.0,0.67,0.0,0.33,0.0,0.33,1.0,1.17,0.0,0.0,7.17,-0.67,1.0
180,4,17.2,0.8,2.2,0.0,1.4,0.8,1.6,0.2,0.0,0.4,1.2,0.8,0.4,0.6,0.8,0.0,0.0,0.0,1.2,0.8,1.4,0.0,0.2,9.8,-1.2,1.0
147,1,17.06,0.0,3.75,0.25,0.0,1.0,0.25,0.25,0.0,1.5,0.75,0.75,1.0,0.0,2.5,0.0,0.0,0.0,0.75,0.25,1.5,0.0,0.0,12.31,-2.12,1.0
129,3,13.38,0.25,2.0,0.25,0.5,1.0,0.75,0.0,0.0,0.25,0.75,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.25,0.0,9.12,-0.38,1.0
24,2,13.35,0.0,2.4,0.6,0.4,1.2,0.6,0.2,0.0,1.4,1.8,1.4,0.8,0.2,1.2,0.0,0.0,0.0,1.6,0.6,1.8,0.2,0.0,9.35,-3.1,1.0
196,3,13.12,0.5,1.25,0.25,0.5,0.75,0.75,0.25,0.0,0.25,0.75,0.0,2.25,0.5,0.0,0.0,0.0,0.0,1.25,0.75,2.25,0.0,0.0,7.12,-0.88,1.0
17,1,13.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,-2.5,1.0
120,3,12.92,0.33,2.67,0.0,0.33,0.67,0.0,0.0,0.0,1.0,0.33,0.33,0.67,0.0,2.33,0.0,0.0,0.0,1.33,0.33,1.0,0.33,0.0,9.92,-0.67,1.0
26,2,12.67,0.33,2.0,0.33,0.5,0.17,0.83,0.33,0.0,0.5,0.67,0.0,2.17,0.0,0.5,0.0,0.0,0.0,1.33,0.67,2.17,0.5,0.0,7.67,-1.08,1.0
18,2,12.5,0.33,1.67,0.67,0.33,0.33,1.0,0.33,0.0,0.33,0.33,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.67,1.0,3.0,0.0,0.0,5.5,-1.17,1.0
14,1,12.25,0.0,1.33,0.67,0.0,1.0,2.0,0.67,0.0,2.0,0.67,2.33,0.33,0.0,2.0,0.0,0.0,0.0,0.67,0.33,4.0,0.0,0.0,5.58,-3.67,1.0
