,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
6,AVL,WB,2,20.5,1.0,1.0,0.5,1.5,1.5,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,0.0,0.0,8.88,-0.88,0.0,1.0,33.88
26,NEW,RB,1,15.36,0.0,3.16,0.63,0.0,0.89,0.26,0.0,1.84,0.63,0.79,0.53,0.0,0.0,0.0,1.05,0.42,0.63,1.74,0.11,0.0,10.34,-0.99,0.53,1.0,39.37
8,BHA,LB,3,12.5,0.12,2.12,0.75,0.38,1.12,0.5,0.0,0.88,1.38,1.12,0.12,0.0,0.0,0.0,1.5,0.0,0.88,2.75,0.12,0.0,8.31,-1.69,0.62,1.0,18.78
2,ARS,RB,2,10.88,0.11,1.05,0.11,0.47,1.47,0.11,0.0,0.63,0.95,1.58,0.74,0.0,0.0,0.0,0.74,0.47,0.11,0.95,0.11,0.0,8.04,-0.74,0.58,1.0,27.36
29,TOT,RB,2,10.57,0.11,1.05,0.21,0.11,2.11,0.11,0.0,0.32,0.63,2.37,0.53,0.0,0.0,0.0,0.89,0.42,0.21,1.21,0.0,0.0,7.42,-1.17,0.42,1.0,21.75
12,CHE,LB,2,9.62,0.0,0.38,0.15,0.38,1.62,0.15,0.0,0.0,0.46,2.15,0.77,0.0,0.0,0.0,0.69,0.46,0.15,1.38,0.15,0.0,6.96,-0.88,0.54,1.0,26.35
23,MUN,RB,2,9.03,0.11,1.37,0.11,0.21,1.42,0.32,0.0,1.11,1.21,2.16,0.32,0.0,0.0,0.0,1.42,0.21,0.21,2.0,0.0,0.0,8.46,-1.12,0.58,1.0,17.83
15,LIV,CB,5,8.86,0.0,0.42,0.11,0.05,0.66,0.11,0.0,0.0,1.5,5.0,0.92,0.0,0.0,0.05,0.84,0.26,0.11,0.92,0.05,0.0,7.88,-1.02,0.47,1.0,14.14
16,LIV,LB,2,8.82,0.11,2.16,0.0,0.21,1.26,0.11,0.0,0.79,0.84,2.11,0.32,0.0,0.0,0.0,0.95,0.26,0.11,1.32,0.21,0.0,7.58,-0.87,0.47,1.0,19.22
4,AVL,LB,1,8.69,0.0,1.71,0.24,0.12,0.88,0.47,0.0,1.35,1.53,2.29,0.0,0.0,0.0,0.0,1.47,0.24,0.12,2.59,0.12,0.0,8.47,-1.43,0.53,1.0,22.94
32,WHU,RB,1,8.67,0.0,1.32,0.42,0.0,1.79,0.0,0.0,0.79,1.16,2.21,0.32,0.0,0.0,0.0,1.74,0.11,0.42,0.74,0.11,0.0,7.7,-0.92,0.47,1.0,23.13
27,TOT,CB,3,8.26,0.11,0.21,0.0,0.11,1.32,0.21,0.0,0.0,0.97,3.63,0.66,0.0,0.0,0.05,0.89,0.42,0.11,1.16,0.0,0.0,6.59,-1.18,0.42,1.0,20.15
