,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
15,MCI,FW,1,17.8,1.16,1.19,0.16,2.33,0.0,0.0,0.0,0.0,0.09,0.56,0.0,0.09,0.0,0.0,0.65,0.44,1.33,0.56,0.09,0.16,7.29,-1.1,0.37,1.0,35.03,800.0,341.5,-33.5,-34.75,-28.0,-13.75
14,LIV,RW,1,17.67,0.94,2.3,0.36,1.67,0.61,0.0,0.0,0.3,0.0,0.0,0.12,0.12,0.12,0.0,0.79,0.33,1.3,0.24,0.42,0.36,8.34,-1.67,0.58,1.0,39.42,637.0,330.0,-44.0,-53.75,-54.75,-11.0
2,ARS,RW,2,15.02,0.39,2.27,0.46,0.88,1.68,0.2,0.0,0.54,0.39,0.49,0.05,0.0,0.0,0.0,0.83,0.46,0.68,2.22,0.1,0.2,9.86,-1.96,0.56,1.0,38.66,678.0,453.5,-48.5,-62.0,-49.25,-31.75
10,CHE,LW,2,13.24,0.38,1.1,0.67,0.67,0.76,0.19,0.0,0.0,0.48,0.19,0.0,0.0,0.19,0.0,0.57,0.57,0.48,1.52,0.1,0.0,6.12,-1.55,0.52,1.0,23.62,303.5,152.0,-16.5,-25.5,-23.5,-16.0
3,AVL,FW,2,12.81,0.4,1.88,0.6,1.05,0.1,0.0,0.0,0.17,0.1,0.41,0.14,0.0,0.14,0.0,1.48,0.14,0.74,0.36,0.17,0.0,5.99,-0.97,0.45,1.0,36.26,827.5,432.5,-22.0,-84.5,-85.0,-34.5
21,NEW,FW,2,12.76,0.93,0.29,0.0,1.88,0.12,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.73,0.54,0.93,1.32,0.2,0.27,5.73,-1.31,0.54,1.0,24.9,559.0,256.0,-39.0,-35.75,-21.0,-14.75
8,BHA,RW,2,12.12,0.47,0.82,0.12,0.94,1.59,0.0,0.0,0.47,1.53,0.76,0.0,0.0,0.0,0.0,1.47,0.24,0.59,1.65,1.06,0.0,8.4,-1.57,0.47,1.0,21.84,459.0,299.0,-16.0,-47.0,-13.5,-37.5
24,TOT,FW,2,11.73,0.76,1.15,0.1,1.54,0.1,0.1,0.0,0.1,0.05,0.1,0.1,0.0,0.0,0.0,0.95,0.29,0.85,0.83,0.51,0.0,5.55,-1.31,0.44,1.0,33.03,544.0,275.0,-34.0,-63.0,-47.25,-19.75
29,WHU,RW,1,11.27,0.57,0.54,0.0,1.26,0.91,0.11,0.0,0.0,0.71,0.34,0.2,0.0,0.0,0.0,1.8,0.11,0.57,0.91,0.8,0.0,7.57,-1.56,0.54,1.0,29.13,428.0,280.0,-36.0,-33.5,-15.0,-18.5
12,LIV,FW,4,10.82,0.33,1.36,0.51,1.04,0.31,0.18,0.0,0.0,0.27,0.49,0.09,0.0,0.0,0.0,0.84,0.24,0.6,1.73,0.09,0.0,5.89,-1.65,0.42,1.0,23.43,542.5,311.5,-42.0,-55.75,-46.5,-32.25
16,MCI,LW,3,10.78,0.11,2.26,0.34,0.54,0.89,0.11,0.0,0.34,0.31,0.34,0.11,0.0,0.0,0.0,0.8,0.2,0.46,0.91,0.23,0.0,8.38,-1.23,0.46,1.0,20.26,463.0,372.5,-24.5,-85.75,-79.25,-18.5
22,NEW,LW,3,10.77,0.34,0.93,0.29,0.83,0.68,0.44,0.0,0.2,0.29,0.2,0.0,0.0,0.1,0.0,0.83,0.54,0.54,2.34,0.05,0.0,6.85,-1.73,0.54,1.0,28.37,437.0,282.0,-65.0,4.75,-1.25,-6.0
1,ARS,LW,3,10.03,0.11,1.7,0.32,0.68,1.0,0.0,0.0,0.51,0.76,0.22,0.0,0.0,0.0,0.0,0.92,0.41,0.32,0.86,0.49,0.0,7.88,-1.39,0.51,1.0,17.96,429.0,351.5,-41.5,-57.75,-60.0,-9.75
5,AVL,RW,2,9.81,0.25,1.25,0.5,0.25,0.5,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.75,2.5,0.0,0.0,5.19,-1.38,0.75,1.0,9.25,164.0,92.0,-16.0,-7.0,-9.0,-6.0
17,MCI,RW,4,9.55,0.2,2.29,0.11,0.51,0.89,0.09,0.0,0.57,0.63,0.57,0.0,0.0,0.0,0.0,0.69,0.43,0.31,1.03,0.11,0.0,7.56,-0.92,0.46,1.0,17.12,390.0,318.0,-26.0,-55.75,-53.5,-6.25
6,BHA,FW,2,9.48,0.58,0.42,0.0,1.52,0.45,0.0,0.0,0.0,0.24,0.85,0.0,0.0,0.0,0.0,0.88,0.36,0.58,1.03,0.24,0.0,5.53,-1.23,0.58,1.0,13.83,302.5,168.0,-36.5,10.25,14.5,-4.25
25,TOT,LW,4,9.37,0.0,2.37,0.46,0.69,0.66,0.11,0.0,0.11,0.89,0.86,0.09,0.0,0.0,0.0,0.8,0.43,0.46,1.2,0.11,0.0,7.59,-1.42,0.46,1.0,16.74,404.0,338.0,-30.0,-76.0,-72.25,-19.75
7,BHA,LW,2,9.28,0.12,2.0,0.38,0.62,0.12,0.25,0.0,0.38,0.75,0.12,0.0,0.0,0.0,0.0,1.5,0.0,0.5,1.62,0.5,0.0,7.12,-1.59,0.62,1.0,20.19,372.0,290.0,-26.0,-75.0,-62.0,-25.0
