,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
32,LIV,RW,1,18.72,1.0,2.27,0.4,1.8,0.67,0.0,0.0,0.27,0.0,0.0,0.13,0.13,0.13,0.0,0.8,0.33,1.4,0.27,0.4,0.4,8.65,-1.73,0.6,1.0,38.43,304.0,154.0,-21.0,-23.25,-24.25,-5.0
36,MCI,FW,1,18.01,1.22,1.26,0.13,2.26,0.0,0.0,0.0,0.0,0.09,0.61,0.0,0.09,0.0,0.0,0.61,0.48,1.35,0.61,0.09,0.13,7.26,-1.12,0.35,1.0,31.63,434.0,182.5,-18.5,-19.75,-15.5,-7.25
2,ARS,RW,2,15.63,0.42,2.37,0.47,0.95,1.74,0.21,0.0,0.53,0.42,0.53,0.0,0.0,0.0,0.0,0.84,0.47,0.74,2.37,0.11,0.21,10.17,-2.01,0.58,1.0,38.84,330.0,219.5,-22.5,-33.0,-26.25,-15.75
14,BRF,RW,1,15.08,0.67,2.17,0.17,1.5,0.67,0.17,0.0,1.33,0.0,0.67,0.0,0.0,0.0,0.0,1.17,0.33,0.83,1.5,0.17,0.17,9.83,-1.92,0.67,1.0,28.0,202.0,132.0,-14.0,-21.0,-14.0,-9.0
58,WOL,LW,2,14.75,0.5,2.0,0.5,0.5,1.0,0.5,0.0,0.25,1.0,0.25,0.5,0.0,0.0,0.0,1.5,0.0,1.0,2.75,0.25,0.0,8.0,-1.25,0.75,1.0,39.88,136.0,87.0,-11.0,-18.0,-23.0,1.0
19,CHE,LW,2,14.0,0.44,1.0,0.67,0.67,0.89,0.22,0.0,0.0,0.44,0.22,0.0,0.0,0.22,0.0,0.44,0.67,0.44,1.33,0.0,0.0,6.06,-1.39,0.56,1.0,23.28,132.5,62.0,-7.5,-6.5,-7.5,-5.0
3,AVL,FW,2,13.4,0.42,1.88,0.65,1.04,0.08,0.0,0.0,0.15,0.08,0.46,0.15,0.0,0.15,0.0,1.46,0.15,0.81,0.27,0.15,0.0,6.0,-0.98,0.46,1.0,36.69,384.5,193.5,-10.0,-36.0,-37.5,-15.5
42,NEW,FW,2,13.04,0.95,0.32,0.0,1.95,0.05,0.11,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.74,0.53,0.95,1.37,0.21,0.26,5.84,-1.33,0.53,1.0,23.91,266.0,122.0,-18.0,-18.25,-11.0,-7.25
8,BHA,RW,2,12.78,0.5,0.88,0.12,1.0,1.62,0.0,0.0,0.5,1.62,0.75,0.0,0.0,0.0,0.0,1.5,0.25,0.62,1.75,1.12,0.0,8.72,-1.56,0.5,1.0,22.69,227.0,146.0,-7.0,-22.5,-6.5,-18.0
51,TOT,FW,2,12.08,0.79,1.21,0.11,1.53,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.79,0.32,0.89,0.84,0.47,0.0,5.59,-1.36,0.42,1.0,32.3,260.0,130.0,-17.0,-30.5,-23.75,-8.75
