,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
39,WHU,RM,1,26.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,12.0,-2.0,0.0,1.0,47.5,53.0,24.0,-1.0,-1.0,0.0,-3.0
33,TOT,AM,1,17.0,0.32,3.16,0.58,1.58,0.63,0.21,0.0,0.47,0.32,0.26,0.0,0.0,0.0,0.0,0.74,0.47,0.84,1.42,0.05,0.0,11.07,-1.43,0.42,1.0,39.26,346.0,239.0,-22.0,-23.0,-28.75,-5.25
20,MCI,AM,1,14.79,0.46,2.15,0.62,1.46,0.46,0.31,0.0,0.38,0.15,0.15,0.0,0.0,0.15,0.0,0.77,0.23,0.77,2.0,0.0,0.0,7.52,-1.19,0.46,1.0,39.25,210.0,120.0,-12.0,-17.75,-22.25,-3.5
36,WHU,CM,2,13.38,0.5,1.0,0.0,1.5,1.0,0.5,0.0,0.0,3.5,1.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,3.5,0.0,0.0,10.5,-1.62,0.0,1.0,17.62,55.0,42.0,-5.0,-1.5,0.0,-1.5
22,MCI,DM,5,12.93,0.31,1.16,0.38,1.0,1.5,0.25,0.0,0.16,0.34,0.84,0.06,0.0,0.03,0.0,0.56,0.44,0.66,2.06,0.25,0.0,8.16,-1.1,0.44,1.0,14.89,396.0,250.0,-30.0,17.75,11.0,-5.25
23,MCI,LM,2,12.81,0.0,4.5,0.75,0.75,1.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,2.0,0.0,0.0,8.94,-1.62,0.0,1.0,1.44,130.0,101.0,-9.0,-27.5,-29.5,-4.0
38,WHU,LM,1,12.25,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.75,-1.5,0.0,1.0,17.25,35.0,24.0,-1.0,-10.5,-10.5,-2.0
3,AVL,AM,2,11.64,0.29,1.71,0.57,1.14,0.29,0.0,0.0,0.29,0.0,0.14,0.0,0.0,0.0,0.0,1.14,0.29,0.71,0.43,0.29,0.0,5.96,-0.89,0.43,1.0,21.07,180.0,106.0,-10.0,-17.0,-22.5,-2.5
16,CHE,RM,1,11.12,0.0,1.0,0.5,0.0,2.5,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,3.0,0.0,0.0,8.62,-1.5,0.0,1.0,27.38,42.0,30.0,-2.0,2.5,4.5,-4.0
19,LIV,RM,1,11.05,0.13,2.8,0.4,0.33,0.93,0.13,0.0,0.27,0.73,0.8,0.0,0.0,0.27,0.0,0.8,0.33,0.27,1.6,0.27,0.0,8.35,-1.63,0.6,1.0,23.8,201.5,153.0,-10.5,-35.75,-27.75,-14.0
35,WHU,AM,5,10.96,0.35,1.76,0.12,0.71,1.53,0.18,0.0,0.47,1.06,0.82,0.35,0.0,0.0,0.0,1.47,0.24,0.47,1.71,0.18,0.12,8.57,-1.85,0.53,1.0,30.29,203.5,157.5,-24.0,-17.25,-11.75,-7.5
