,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
40,WHU,RM,2,25.58,1.0,1.33,1.0,1.67,2.0,0.0,0.0,0.0,1.33,1.0,0.0,0.0,0.0,0.0,1.67,0.0,1.67,0.67,0.0,0.0,11.42,-1.83,0.0,1.0,40.67,153.0,67.0,-4.0,0.5,1.5,-7.0
33,TOT,AM,1,16.87,0.31,3.13,0.59,1.54,0.62,0.21,0.0,0.49,0.31,0.28,0.0,0.0,0.0,0.0,0.72,0.49,0.82,1.41,0.08,0.0,10.92,-1.43,0.41,1.0,39.58,704.0,484.0,-45.0,-46.0,-58.25,-10.75
20,MCI,AM,2,14.65,0.52,2.32,0.52,1.39,0.39,0.26,0.0,0.42,0.19,0.13,0.0,0.0,0.13,0.0,0.71,0.29,0.77,1.68,0.0,0.0,7.41,-1.02,0.52,1.0,38.1,506.0,290.0,-24.0,-51.75,-60.25,-7.5
22,MCI,DM,5,12.09,0.26,1.18,0.35,0.87,1.42,0.26,0.0,0.18,0.37,0.89,0.06,0.0,0.05,0.0,0.58,0.42,0.56,2.0,0.19,0.0,7.98,-1.11,0.45,1.0,16.08,719.0,477.0,-60.0,30.75,17.5,-8.75
3,AVL,AM,2,11.64,0.29,1.71,0.57,1.14,0.29,0.0,0.0,0.29,0.0,0.14,0.0,0.0,0.0,0.0,1.14,0.29,0.71,0.43,0.29,0.0,5.96,-0.89,0.43,1.0,21.07,360.0,212.0,-20.0,-34.0,-45.0,-5.0
23,MCI,LM,2,11.5,0.0,4.0,0.67,0.67,1.0,0.33,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,2.33,0.0,0.0,8.17,-1.67,0.0,1.0,1.92,172.0,136.0,-16.0,-34.0,-38.0,-4.0
19,LIV,RM,2,11.23,0.12,2.79,0.42,0.39,0.85,0.12,0.0,0.3,0.82,0.73,0.0,0.0,0.24,0.0,0.79,0.33,0.3,1.52,0.24,0.0,8.43,-1.59,0.58,1.0,24.11,452.5,343.0,-21.5,-81.75,-64.75,-31.0
16,CHE,RM,1,11.12,0.0,1.0,0.5,0.0,2.5,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,3.0,0.0,0.0,8.62,-1.5,0.0,1.0,27.38,84.0,60.0,-4.0,5.0,9.0,-8.0
25,MUN,AM,3,11.01,0.18,2.88,0.24,0.88,1.0,0.35,0.0,0.35,0.24,1.18,0.12,0.0,0.0,0.0,1.53,0.18,0.41,2.29,0.35,0.12,9.25,-1.65,0.47,1.0,28.22,422.0,353.0,-39.0,-47.5,-38.5,-17.0
36,WHU,AM,5,10.65,0.34,1.71,0.11,0.69,1.49,0.2,0.0,0.46,1.03,0.8,0.34,0.0,0.0,0.0,1.46,0.23,0.46,1.8,0.2,0.11,8.46,-1.93,0.54,1.0,29.84,405.5,319.5,-54.0,-32.75,-23.25,-13.5
2,ARS,RM,2,10.01,0.29,1.54,0.2,0.98,0.63,0.15,0.0,0.39,0.44,0.1,0.0,0.0,0.1,0.0,0.73,0.46,0.39,1.02,0.1,0.2,6.94,-1.32,0.56,1.0,26.23,434.0,310.5,-48.5,-23.5,-26.0,-5.5
39,WHU,LM,1,9.33,0.0,3.0,0.67,0.0,0.67,0.0,0.0,0.33,0.33,0.67,0.0,0.0,0.0,0.0,1.33,0.0,0.67,0.0,0.0,0.0,5.83,-1.17,0.0,1.0,13.5,78.0,56.0,-2.0,-22.0,-21.0,-5.0
37,WHU,CM,3,9.33,0.33,0.83,0.0,1.0,1.0,0.5,0.0,0.0,2.67,1.33,0.33,0.0,0.0,0.0,1.67,0.0,0.33,3.17,0.0,0.0,8.12,-1.79,0.0,1.0,13.92,118.0,96.0,-14.0,-6.0,1.5,-7.5
12,CHE,AM,5,9.26,0.2,1.8,0.24,0.49,0.95,0.1,0.0,0.66,0.37,0.29,0.1,0.0,0.1,0.0,1.07,0.29,0.34,1.02,0.29,0.0,7.25,-1.65,0.76,1.0,22.67,412.0,331.0,-59.0,-32.25,-33.75,-8.5
15,CHE,LM,1,9.0,0.0,0.5,0.0,1.0,2.0,0.5,0.0,0.0,1.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,2.0,0.0,0.0,10.38,-1.88,0.0,1.0,19.62,54.0,66.0,-16.0,18.0,17.0,1.0
5,AVL,DM,2,8.93,0.3,0.9,0.0,0.4,1.6,0.4,0.0,0.1,0.9,0.6,0.3,0.0,0.0,0.0,1.4,0.4,0.3,3.1,0.0,0.2,7.42,-1.6,0.6,1.0,16.05,342.0,262.0,-44.0,15.0,35.0,-20.0
